unit_id,qid,exam_id_canonical,num,type,subq,grain,归属_B2,admission,evidence,downgrade_notes,script_tier,rule_version
BJ-2020-BJ-GAOKAO-Q3,BJ-2020-BJ-GAOKAO-Q3,BJ-2020-BJ-GAOKAO,3,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q4,BJ-2020-BJ-GAOKAO-Q4,BJ-2020-BJ-GAOKAO,4,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q5,BJ-2020-BJ-GAOKAO-Q5,BJ-2020-BJ-GAOKAO,5,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO-Q6,BJ-2020-BJ-GAOKAO,6,选择题,,整题,MAYBE,完整题-选择题照收,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q10,BJ-2020-BJ-GAOKAO-Q10,BJ-2020-BJ-GAOKAO,10,选择题,,整题,MAYBE,完整题-选择题照收,E1,,倾向,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q16#1,BJ-2020-BJ-GAOKAO-Q16,BJ-2020-BJ-GAOKAO,16,主观题,1,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q16#2,BJ-2020-BJ-GAOKAO-Q16,BJ-2020-BJ-GAOKAO,16,主观题,2,小问,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO-Q18,BJ-2020-BJ-GAOKAO,18,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO-Q21,BJ-2020-BJ-GAOKAO,21,主观题,,整题,MAYBE,完整题-有E1,E1,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q1,BJ-2023-CY-YIMO-Q1,BJ-2023-CY-YIMO,1,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q2,BJ-2023-CY-YIMO-Q2,BJ-2023-CY-YIMO,2,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q3,BJ-2023-CY-YIMO-Q3,BJ-2023-CY-YIMO,3,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q5,BJ-2023-CY-YIMO-Q5,BJ-2023-CY-YIMO,5,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
BJ-2023-CY-YIMO-Q7,BJ-2023-CY-YIMO-Q7,BJ-2023-CY-YIMO,7,选择题,,整题,MAYBE,完整题-选择题照收,缺答案键,,不明,2026-09-24-attribution-v1
