qid,exam,num,type,n_books,philosophy,culture,xuanbi1,xuanbi2,mind,reasoning,bixiu2,bixiu3,dup_of,dup_covered_by
BJ-2024-CY-ERMO-Q17,BJ-2024-CY-ERMO,17,非选择题,2,,,,S,,,S,,,
BJ-2024-CY-ERMO-Q18,BJ-2024-CY-ERMO,18,非选择题,1,,,,,,,,S,,
BJ-2024-CY-ERMO-Q19,BJ-2024-CY-ERMO,19,非选择题,3,,S[3],,,S[1],S[1/2],,,,
BJ-2024-CY-ERMO-Q20,BJ-2024-CY-ERMO,20,非选择题,2,,,S,,,,S,,,
BJ-2022-BJ-GAOKAO-Q1,BJ-2022-BJ-GAOKAO,1,选择题,1,S,,,,,,,,,
BJ-2022-BJ-GAOKAO-Q2,BJ-2022-BJ-GAOKAO,2,选择题,2,,S,,,,,S,,,
BJ-2022-BJ-GAOKAO-Q3,BJ-2022-BJ-GAOKAO,3,选择题,2,S,S,,,,,,,,
BJ-2022-BJ-GAOKAO-Q4,BJ-2022-BJ-GAOKAO,4,选择题,1,S,,,,,,,,,
BJ-2022-BJ-GAOKAO-Q5,BJ-2022-BJ-GAOKAO,5,选择题,2,S,,,,S,,,,,
BJ-2022-BJ-GAOKAO-Q6,BJ-2022-BJ-GAOKAO,6,选择题,1,S,,,,,,,,,
BJ-2022-BJ-GAOKAO-Q7,BJ-2022-BJ-GAOKAO,7,选择题,2,S,S,,,,,,,,
BJ-2022-BJ-GAOKAO-Q8,BJ-2022-BJ-GAOKAO,8,选择题,1,,,,,,S,,,BJ-2024-BJ-GAOKAO-Q8,culture
BJ-2022-BJ-GAOKAO-Q9,BJ-2022-BJ-GAOKAO,9,选择题,1,,,,,,S,,,BJ-2024-BJ-GAOKAO-Q9,bixiu3
BJ-2022-BJ-GAOKAO-Q10,BJ-2022-BJ-GAOKAO,10,选择题,2,,,S,,,,S,,,
BJ-2022-BJ-GAOKAO-Q11,BJ-2022-BJ-GAOKAO,11,选择题,2,,,S,,,,S,,,
BJ-2022-BJ-GAOKAO-Q12,BJ-2022-BJ-GAOKAO,12,选择题,3,,S,S,,,,,S,,
BJ-2022-BJ-GAOKAO-Q13,BJ-2022-BJ-GAOKAO,13,选择题,1,,,,S,,,,,BJ-2024-BJ-GAOKAO-Q13,bixiu2
BJ-2022-BJ-GAOKAO-Q14,BJ-2022-BJ-GAOKAO,14,选择题,1,,,,S,,,,,,
BJ-2022-BJ-GAOKAO-Q15,BJ-2022-BJ-GAOKAO,15,选择题,2,,,S,,,,S,,,
BJ-2022-BJ-GAOKAO-Q16,BJ-2022-BJ-GAOKAO,16,非选择题,2,S,S,,,,,,,,
BJ-2022-BJ-GAOKAO-Q17,BJ-2022-BJ-GAOKAO,17,非选择题,1,,,,,S,,,,,
BJ-2022-BJ-GAOKAO-Q18,BJ-2022-BJ-GAOKAO,18,非选择题,2,,,,,,,S[2],S[1/2],,
BJ-2022-BJ-GAOKAO-Q19,BJ-2022-BJ-GAOKAO,19,非选择题,2,,,S[2],,,,S[1],,,
BJ-2022-BJ-GAOKAO-Q20,BJ-2022-BJ-GAOKAO,20,非选择题,3,,,,S,,,S,S,,
BJ-2022-BJ-GAOKAO-Q21,BJ-2022-BJ-GAOKAO,21,非选择题,1,S,,,,,,,M,,
BJ-2025-DC-ERMO-Q1,BJ-2025-DC-ERMO,1,选择题,0,,,,,,,,,,
BJ-2025-DC-ERMO-Q2,BJ-2025-DC-ERMO,2,选择题,2,S,S,,,,,,,,
BJ-2025-DC-ERMO-Q3,BJ-2025-DC-ERMO,3,选择题,2,S,S,,,,,,,,
BJ-2025-DC-ERMO-Q4,BJ-2025-DC-ERMO,4,选择题,2,S,S,,,,,,,,
BJ-2025-DC-ERMO-Q5,BJ-2025-DC-ERMO,5,选择题,1,,,,,,,,S,,
BJ-2025-DC-ERMO-Q6,BJ-2025-DC-ERMO,6,选择题,1,,,,,,,S,,,
BJ-2025-DC-ERMO-Q7,BJ-2025-DC-ERMO,7,选择题,1,,,,,,,S,,,
BJ-2025-DC-ERMO-Q8,BJ-2025-DC-ERMO,8,选择题,2,,,,,,,S,S,,
BJ-2025-DC-ERMO-Q9,BJ-2025-DC-ERMO,9,选择题,2,,,S,,,,S,,,
BJ-2025-DC-ERMO-Q10,BJ-2025-DC-ERMO,10,选择题,1,,,,S,,,,,,
BJ-2025-DC-ERMO-Q11,BJ-2025-DC-ERMO,11,选择题,1,,,,S,,,,,,
BJ-2025-DC-ERMO-Q12,BJ-2025-DC-ERMO,12,选择题,1,,,,S,,,,,,
BJ-2025-DC-ERMO-Q13,BJ-2025-DC-ERMO,13,选择题,2,S,,,,S,,,,,
BJ-2025-DC-ERMO-Q14,BJ-2025-DC-ERMO,14,选择题,1,,,,,,S,,,,
