file,size_mb,cwd,model_last,first_ts,last_ts,book_line,stage_guess,n_token_count_events,records_token_usage,tok_new,tok_cache_read,tok_out,tok_weighted,n_calls,tool_counts_json,exec_cat_json,render_n,check_n,user_text_sample,thread_source,parent,nickname,error
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-29-50-01a0c760-9598-7fd0-ab60-e2bcdb4a9c6e.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051395.723,1790052692.822,other,其他,5,5,22828,149248,1994,45729,5,"{""exec"": 5}","{""浏览"": 5}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-02-01a0c760-c178-7a51-96c1-baf53232f3b1.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051407.657,1790052692.831,other,其他,5,6,44910,171520,3210,74902,6,"{""exec"": 6}","{""浏览"": 5}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-09-01a0c760-de43-7e82-81d7-6f64398acb92.jsonl,12.8,/Users/wanglifei/Documents/Codex/2026-09-21/bj-2026-mtg-yimo-visual,gpt-5.6-luna,1790051413.556,1790052692.826,other,其他,67,66,261602,9415296,37539,1353288,66,"{""exec"": 59, ""wait"": 7}","{""检查"": 14, ""其他"": 12, ""浏览"": 11}",0,14,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-16-01a0c760-f8ab-7f51-b665-416212fa2dd2.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051419.21,1790052693.515,other,其他,8,8,25943,257024,2946,63429,8,"{""exec"": 8}","{""浏览"": 3, ""其他"": 2}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-28-01a0c761-2721-7331-8afc-ff9d29288675.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051431.556,1790052693.097,other,其他,3,4,13391,123904,2105,34201,4,"{""exec"": 4}","{""浏览"": 4}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-28-01a0c761-2843-7843-b334-460569d425b2.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051432.62,1790052692.869,other,其他,4,5,11949,158464,1672,34483,5,"{""exec"": 5}","{""浏览"": 5}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-32-01a0c761-38c8-77e3-965e-c262d7c3a1d2.jsonl,2.4,/Users/wanglifei/Documents/Codex/2026-09-21/bj-2025-hd-qizhong-5,gpt-5.6-luna,1790051437.085,1790052692.769,other,其他,26,27,188819,2885888,12115,525868,27,"{""exec"": 27}","{""浏览"": 24, ""检查"": 1, ""数据查看"": 1, ""PDF转图"": 1}",0,1,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-44-01a0c761-6777-7ec3-91b9-0f4db4459001.jsonl,1.9,/Users/wanglifei/Documents/Codex/2026-09-21/bj-2026-mtg-yimo-answer,gpt-5.6-luna,1790051449.528,1790052692.821,other,其他,36,37,168212,3618560,13007,582096,37,"{""exec"": 35, ""wait"": 2}","{""浏览"": 17, ""其他"": 7, ""检查"": 4}",0,4,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-51-01a0c761-81bb-7482-8b73-3366eb06286e.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051454.884,1790052692.822,other,其他,6,6,24468,183808,2539,53005,6,"{""exec"": 6}","{""浏览"": 5, ""其他"": 1}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-52-01a0c761-85a5-7702-b48d-f7896cceed89.jsonl,0.2,/Users/wanglifei/Desktop/gpt6,gpt-5.6-luna,1790051456.041,1790052692.803,other,其他,3,4,22474,117760,2568,44522,4,"{""exec"": 4}","{""浏览"": 10}",0,0,,agent_created_thread,False,,
/Users/wanglifei/.codex/archived_sessions/rollout-2026-09-21T21-30-56-01a0c761-94e2-79a0-8492-83ba7ae13429.jsonl,1.5,/Users/wanglifei/Documents/Codex/2026-09-21/bj-2025-hd-qizhong-6,gpt-5.6-luna,1790051461.064,1790052547.289,other,其他,47,45,188104,5105408,30925,822345,45,"{""exec"": 42, ""wait"": 2}","{""浏览"": 25, ""提取转换"": 2, ""PDF转图"": 2, ""检查"": 2, ""其他"": 2, ""数据查看"": 1}",0,2,,agent_created_thread,False,,
