unit_id,qid,exam_id_raw,exam_id_canonical,num,type,subq,grain,content_fingerprint,script_tier,归属_B1,归属_B2,归属_B3,归属_PH,归属_CU,归属_X1,归属_X2,归属_MI,归属_RE,admission,evidence,downgrade_notes,dup_of,dup_covered_by,conflict_script_out,rule_version,source,ruled
BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG-Q2,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,2,选择题,,整题,1a5edc645ad311bf,倾向,OUT,MAYBE,MAYBE,MAYBE,COLLECTED,OUT,OUT,OUT,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG-Q3,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,3,选择题,,整题,8be7a5971b104870,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,OUT,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG-Q4,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,4,选择题,,整题,a5e65211f3edd0ae,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,OUT,OUT,MAYBE,OUT,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG-Q5,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,5,选择题,,整题,e90f2b92677f4656,不明,OUT,MAYBE,MAYBE,COLLECTED,MAYBE,MAYBE,OUT,MAYBE,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG-Q6,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,6,选择题,,整题,92681ca142fb0887,不明,OUT,MAYBE,MAYBE,COLLECTED,COLLECTED,MAYBE,MAYBE,OUT,MAYBE,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG-Q7,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,7,选择题,,整题,3918c2478f987a01,不明,OUT,MAYBE,MAYBE,MAYBE,IN,MAYBE,MAYBE,MAYBE,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG-Q8,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,8,选择题,,整题,93bc55e00815e614,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,OUT,OUT,MAYBE,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG-Q9,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,9,选择题,,整题,0e37eeb3125502da,不明,OUT,MAYBE,MAYBE,MAYBE,MAYBE,OUT,MAYBE,MAYBE,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG-Q10,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,10,选择题,,整题,d03006f4391dc23f,不明,MAYBE,MAYBE,MAYBE,COLLECTED,OUT,OUT,MAYBE,OUT,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG-Q11,BJ-2024-CY-QIZHONG,BJ-2024-CY-QIZHONG,11,选择题,,整题,274687aee76ff7ed,倾向,OUT,MAYBE,MAYBE,OUT,OUT,OUT,MAYBE,OUT,COLLECTED,完整题-选择题照收,E1,,,,,2026-09-24-attribution-v1,classify.py:classified_prod.jsonl+matrix.csv+exam_identity.json,no
